pt,sl,t1,valid_setups,successes,win_rate
1.0,2.0,12,23377,20091.0,0.8594344868888224
1.0,2.0,24,23718,19882.0,0.8382662956404419
1.0,1.5,12,23377,18875.0,0.8074175471617402
1.0,2.0,6,22948,18117.0,0.7894805647550985
1.0,2.0,48,23893,18693.0,0.7823630351985937
1.0,1.5,6,22948,17567.0,0.7655133344953808
1.0,1.5,24,23718,18146.0,0.7650729403828316
1.5,2.0,24,23718,18016.0,0.759591871152711
1.5,2.0,12,23377,16867.0,0.7215211532703084
1.5,2.0,48,23893,17117.0,0.7164022935587829
1.0,1.5,48,23893,16827.0,0.7042648474448583
1.0,1.0,6,22948,16054.0,0.6995816628900122
1.0,1.0,12,23377,16251.0,0.6951704666980365
1.5,1.5,24,23718,16203.0,0.6831520364280294
1.5,1.5,12,23377,15794.0,0.6756213372117894
2.0,2.0,24,23718,15814.0,0.6667509908086685
2.0,2.0,48,23893,15595.0,0.6527016280919098
1.0,1.0,24,23718,15134.0,0.6380807825280378
1.5,1.5,48,23893,15004.0,0.6279663499769808
2.0,1.5,24,23718,14143.0,0.5962981701661185
1.0,1.0,48,23893,13912.0,0.5822625873686854
1.5,1.0,12,23377,13559.0,0.5800145442101211
2.0,2.0,12,23377,13371.0,0.5719724515549471
1.5,2.0,6,22948,12956.0,0.5645807913543663
2.0,1.5,48,23893,13467.0,0.5636378855731804
1.5,1.0,24,23718,13222.0,0.5574669027742643
1.5,1.5,6,22948,12549.0,0.5468450409621753
2.0,1.5,12,23377,12525.0,0.5357830346066647
3.0,2.0,48,23893,12788.0,0.5352195203616121
1.0,0.5,6,22948,11724.0,0.510894195572599
1.5,1.0,6,22948,11510.0,0.5015687641624542
1.5,1.0,48,23893,11951.0,0.5001883396810781
2.0,1.0,24,23718,11504.0,0.4850324647946707
3.0,2.0,24,23718,11449.0,0.4827135508896197
1.0,0.5,12,23377,11051.0,0.47272960602301406
2.0,1.0,12,23377,10804.0,0.46216366514095053
3.0,1.5,48,23893,10913.0,0.4567446532457205
2.0,1.0,48,23893,10557.0,0.4418448918093165
3.0,1.5,24,23718,10214.0,0.43064339320347417
1.0,0.5,24,23718,10066.0,0.4244034066953369
1.5,0.5,12,23377,9102.0,0.389357060358472
1.0,0.5,48,23893,9297.0,0.3891097811074373
2.0,2.0,6,22948,8698.0,0.3790308523618616
1.5,0.5,6,22948,8581.0,0.3739323688338853
2.0,1.5,6,22948,8405.0,0.36626285515077567
1.5,0.5,24,23718,8417.0,0.35487815161480735
3.0,1.0,48,23893,8415.0,0.3521952036161219
3.0,1.0,24,23718,8293.0,0.3496500548106923
2.0,1.0,6,22948,7729.0,0.3368049503224682
3.0,2.0,12,23377,7746.0,0.33135132822860075
1.5,0.5,48,23893,7590.0,0.31766626208512955
2.0,0.5,12,23377,7347.0,0.3142832698806519
3.0,1.5,12,23377,7229.0,0.3092355734268726
2.0,0.5,24,23718,7213.0,0.30411501812969055
2.0,0.5,48,23893,6458.0,0.27028836897836184
3.0,1.0,12,23377,6247.0,0.2672284724301664
2.0,0.5,6,22948,5849.0,0.2548805996165243
3.0,0.5,24,23718,5275.0,0.2224049245298929
3.0,0.5,48,23893,5068.0,0.2121123341564475
3.0,0.5,12,23377,4342.0,0.18573811866364376
3.0,2.0,6,22948,3925.0,0.17103887048980304
3.0,1.5,6,22948,3772.0,0.1643716227993725
3.0,1.0,6,22948,3489.0,0.15203939341119052
3.0,0.5,6,22948,2641.0,0.11508628202893498
